"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","","","","False","0x00000000","",""
"","Chain ≥ #<var 20 E802 /var>","チェイン数 <var 20 E802 /var>以上","","False","0x00000001","",""
"","STR ≥ <var 20 E802 /var>","STR <var 20 E802 /var>以上","","False","0x00000002","",""
"","DEX ≥ <var 20 E802 /var>","DEX <var 20 E802 /var>以上","","False","0x00000003","",""
"","VIT ≥ <var 20 E802 /var>","VIT <var 20 E802 /var>以上","","False","0x00000004","",""
"","INT ≥ <var 20 E802 /var>","INT <var 20 E802 /var>以上","","False","0x00000005","",""
"","MND ≥ <var 20 E802 /var>","MND <var 20 E802 /var>以上","","False","0x00000006","",""
"","PIE ≥ <var 20 E802 /var>","PIE <var 20 E802 /var>以上","","False","0x00000007","",""
"","<var 12 39 /var> ≥ <var 20 E802 /var>","<var 12 39 /var>火 <var 20 E802 /var>以上","","False","0x00000008","",""
"","<var 12 3A /var> ≥ <var 20 E802 /var>","<var 12 3A /var>氷 <var 20 E802 /var>以上","","False","0x00000009","",""
"","<var 12 3B /var> ≥ <var 20 E802 /var>","<var 12 3B /var>風 <var 20 E802 /var>以上","","False","0x0000000A","",""
"","<var 12 3C /var> ≥ <var 20 E802 /var>","<var 12 3C /var>土 <var 20 E802 /var>以上","","False","0x0000000B","",""
"","<var 12 3D /var> ≥ <var 20 E802 /var>","<var 12 3D /var>雷 <var 20 E802 /var>以上","","False","0x0000000C","",""
"","<var 12 3E /var> ≥ <var 20 E802 /var>","<var 12 3E /var>水 <var 20 E802 /var>以上","","False","0x0000000D","",""
"","Gathering ≥ <var 20 E802 /var>","獲得力 <var 20 E802 /var>以上","","False","0x0000000E","",""
"","Perception ≥ <var 20 E802 /var>","技術力 <var 20 E802 /var>以上","","False","0x0000000F","",""
"","Gathering < <var 20 E802 /var>","獲得力 <var 20 E802 /var>未満","","False","0x00000010","",""
"","Perception <var 08 E803 ((≥)) ((<)) /var> <var 20 E802 /var>","技術力 <var 20 E802 /var><var 08 E803 ((以上)) ((未満)) /var>","","False","0x00000011","",""
"","<var 28 ((Status)) E80201 /var> Required","「<var 28 ((Status)) E80201 /var>」付与","","False","0x00000012","",""
"","Max GP ≥ <var 20 E802 /var>","GPmax <var 20 E802 /var>以上","","False","0x00000013","",""
"","<var 28 ((Item)) E8020A /var> <var 08 E803 ((Equipped)) ((Unequipped)) /var>","<var 28 ((Item)) E80201 /var><var 08 E803 ((装備時)) ((非装備時)) /var>","","False","0x00000014","",""
