"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","","","","False","0x00000000","",""
"","Chain ≥ #<var 20 E802 /var>","Min. <var 20 E802 /var>er-Strähne","","False","0x00000001","",""
"","STR ≥ <var 20 E802 /var>","STR min. <var 20 E802 /var>","","False","0x00000002","",""
"","DEX ≥ <var 20 E802 /var>","GESK min. <var 20 E802 /var>","","False","0x00000003","",""
"","VIT ≥ <var 20 E802 /var>","KONS min. <var 20 E802 /var>","","False","0x00000004","",""
"","INT ≥ <var 20 E802 /var>","INT min. <var 20 E802 /var>","","False","0x00000005","",""
"","MND ≥ <var 20 E802 /var>","WLK min. <var 20 E802 /var>","","False","0x00000006","",""
"","PIE ≥ <var 20 E802 /var>","FRM min. <var 20 E802 /var>","","False","0x00000007","",""
"","<var 12 39 /var> ≥ <var 20 E802 /var>","Feuer min <var 20 E802 /var>","","False","0x00000008","",""
"","<var 12 3A /var> ≥ <var 20 E802 /var>","Eis min. <var 20 E802 /var>","","False","0x00000009","",""
"","<var 12 3B /var> ≥ <var 20 E802 /var>","Wind min. <var 20 E802 /var>","","False","0x0000000A","",""
"","<var 12 3C /var> ≥ <var 20 E802 /var>","Erde min. <var 20 E802 /var>","","False","0x0000000B","",""
"","<var 12 3D /var> ≥ <var 20 E802 /var>","Blitz min. <var 20 E802 /var>","","False","0x0000000C","",""
"","<var 12 3E /var> ≥ <var 20 E802 /var>","Wasser min. <var 20 E802 /var>","","False","0x0000000D","",""
"","Gathering ≥ <var 20 E802 /var>","Sammeln min. <var 20 E802 /var>","","False","0x0000000E","",""
"","Perception ≥ <var 20 E802 /var>","Expertise min. <var 20 E802 /var>","","False","0x0000000F","",""
"","Gathering < <var 20 E802 /var>","Sammeln max. <var 20 E802 /var>","","False","0x00000010","",""
"","Perception <var 08 E803 ((≥)) ((<)) /var> <var 20 E802 /var>","Expertise <var 08 E803 ((≥)) ((<)) /var> <var 20 E802 /var>","","False","0x00000011","",""
"","<var 28 ((Status)) E80201 /var> Required","Status „<var 28 ((Status)) E80201 /var>“","","False","0x00000012","",""
"","Max GP ≥ <var 20 E802 /var>","Max. SP ≥ <var 20 E802 /var>","","False","0x00000013","",""
"","<var 28 ((Item)) E8020A /var> <var 08 E803 ((Equipped)) ((Unequipped)) /var>","<var 2B ((<var 28 ((Item)) E8020A /var>)) /var> <var 08 E803 ((ausgerüstet)) ((nicht ausgerüstet)) /var>","","False","0x00000014","",""
