"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","","","","False","0x00000000","",""
"","Chain ≥ #<var 20 E802 /var>","Chaîne ≧ <var 20 E802 /var>","","False","0x00000001","",""
"","STR ≥ <var 20 E802 /var>","Force ≧ <var 20 E802 /var>","","False","0x00000002","",""
"","DEX ≥ <var 20 E802 /var>","Dextérité ≧ <var 20 E802 /var>","","False","0x00000003","",""
"","VIT ≥ <var 20 E802 /var>","Vitalité ≧ <var 20 E802 /var>","","False","0x00000004","",""
"","INT ≥ <var 20 E802 /var>","Intelligence ≧ <var 20 E802 /var>","","False","0x00000005","",""
"","MND ≥ <var 20 E802 /var>","Esprit ≧ <var 20 E802 /var>","","False","0x00000006","",""
"","PIE ≥ <var 20 E802 /var>","Piété ≧ <var 20 E802 /var>","","False","0x00000007","",""
"","<var 12 39 /var> ≥ <var 20 E802 /var>","<var 12 39 /var> ≧ <var 20 E802 /var>","","False","0x00000008","",""
"","<var 12 3A /var> ≥ <var 20 E802 /var>","<var 12 3A /var> ≧ <var 20 E802 /var>","","False","0x00000009","",""
"","<var 12 3B /var> ≥ <var 20 E802 /var>","<var 12 3B /var> ≧ <var 20 E802 /var>","","False","0x0000000A","",""
"","<var 12 3C /var> ≥ <var 20 E802 /var>","<var 12 3C /var> ≧ <var 20 E802 /var>","","False","0x0000000B","",""
"","<var 12 3D /var> ≥ <var 20 E802 /var>","<var 12 3D /var> ≧ <var 20 E802 /var>","","False","0x0000000C","",""
"","<var 12 3E /var> ≥ <var 20 E802 /var>","<var 12 3E /var> ≧ <var 20 E802 /var>","","False","0x0000000D","",""
"","Gathering ≥ <var 20 E802 /var>","Collecte ≧ <var 20 E802 /var>","","False","0x0000000E","",""
"","Perception ≥ <var 20 E802 /var>","Savoir-faire ≧ <var 20 E802 /var>","","False","0x0000000F","",""
"","Gathering < <var 20 E802 /var>","Collecte < <var 20 E802 /var>","","False","0x00000010","",""
"","Perception <var 08 E803 ((≥)) ((<)) /var> <var 20 E802 /var>","Savoir-faire <var 08 E803 ((≧)) ((<)) /var> <var 20 E802 /var>","","False","0x00000011","",""
"","<var 28 ((Status)) E80201 /var> Required","Requiert <var 28 ((Status)) E80201 /var>","","False","0x00000012","",""
"","Max GP ≥ <var 20 E802 /var>","PR ≧ <var 20 E802 /var>","","False","0x00000013","",""
"","<var 28 ((Item)) E8020A /var> <var 08 E803 ((Equipped)) ((Unequipped)) /var>","<var 28 ((Item)) E8020A /var> <var 08 E803 ((<var 08 ((<var 28 ((Item)) E80207 /var>)) ((équipée)) ((équipé)) /var>)) ((<var 08 ((<var 28 ((Item)) E80207 /var>)) ((non équipée)) ((non équipé)) /var>)) /var>","","False","0x00000014","",""
