"﻿""location""","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANKOB003_01322_SEQ_00<tab>789th Order Pickman Gi Gu is not through imposing on your generosity.","","","False","0x00000000","",""
"","TEXT_BANKOB003_01322_SEQ_01<tab>Your efforts on behalf of the hapless 789th Order have endeared you to its leader, Gi Gu, who would repay this kindness the only way he knows how─by delegating additional tasks to you. His latest imposition, however, is interrupted by Skaetswys, who urgently requests your support in driving off a particularly vicious horde of kobolds that have set upon Camp Overlook with a particularly potent new weapon at their disposal.","","","False","0x00000001","",""
"","TEXT_BANKOB003_01322_SEQ_02<tab>You arrive at Camp Overlook to find the kobold attack has been repelled, but at great cost. Unless the kobolds' new weapon is dealt with, the brave men and women of the Maelstrom have slim hope of surviving the next attack. At Skaetswys's behest, return to the 789th Order and inquire with Gi Gu as to the best course of action.","","","False","0x00000002","",""
"","TEXT_BANKOB003_01322_SEQ_03<tab>The unreliable Gi Gu suspects that the kobolds who attacked Camp Overlook were none other than the 13th Order, and their fearsome firepower is the product of Zo Ga's dastardly new weapon. Ever quick to delegate responsibility, he sends you in search of an acolyte of the 789th Order, one Ba Go.","","","False","0x00000003","",""
"","TEXT_BANKOB003_01322_SEQ_04<tab>The eccentric Ba Go, a former associate of Zo Ga's who was relieved of his position, is eager─perhaps a bit too eager─to create mass mayhem by blowing the top off the 13th Order's new furnace. Locate the entrance to their workshop in northern Iron Lake, and seek passage from the alchemist Ga Zi.","","","False","0x00000004","",""
"","TEXT_BANKOB003_01322_SEQ_05<tab>With the help of a reluctant Ga Zi, you have successfully infiltrated the alchemical workshop of the 13th Order. Rendezvous with Ba Go before the prototype furnace.","","","False","0x00000005","",""
"","TEXT_BANKOB003_01322_SEQ_06<tab>Ba Go requires additional time to prepare for the sabotage of the furnace, but fears being caught in the act by Zo Ga's lackeys. Stand watch by the entrance and see to any foes who would interrupt the sabotage operation.","","","False","0x00000006","",""
"","TEXT_BANKOB003_01322_SEQ_07<tab>You have dispatched the ill-fated kobolds who wandered into the workshop. Return to Ba Go and assure him that there is no fear of being interrupted.","","","False","0x00000007","",""
"","TEXT_BANKOB003_01322_SEQ_08<tab>Ba Go entrusts to you some of his so-called beauties, seemingly intelligent bombs designed for the express purpose of rendering a furnace unusable. Pop the top and toss them in, then stand back and enjoy the fireworks.","","","False","0x00000008","",""
"","TEXT_BANKOB003_01322_SEQ_09<tab>The sparks and smoke exuded by the furnace suggest that it is no longer functioning in any real capacity. It would appear that your work here is done. Make for the exit and speak once more with the gleeful Ba Go.","","","False","0x00000009","",""
"","TEXT_BANKOB003_01322_SEQ_10<tab>Eager to return to his research, Ba Go dashes hastily back to the 789th Order Dig. Follow suit and deliver word of your success to Gi Gu.","","","False","0x0000000A","",""
"","TEXT_BANKOB003_01322_SEQ_11<tab>No sooner did you share the news of your triumph than did a comely young kobold by the name of Bi Bi arrive to express her displeasure at Gi Gu's actions, fearing for his safety. Eager to defer to the wishes of his apparent love, yet fearing Skaetswys's wrath if he backs down, Gi Gu succeeds only in underwhelming all present with his utter lack of anything resembling decisive leadership. It would appear the pusillanimous pickman will be dependent on your aid for the foreseeable future...","","","False","0x0000000B","",""
"","TEXT_BANKOB003_01322_SEQ_12<tab>","","","False","0x0000000C","",""
"","TEXT_BANKOB003_01322_SEQ_13<tab>","","","False","0x0000000D","",""
"","TEXT_BANKOB003_01322_SEQ_14<tab>","","","False","0x0000000E","",""
"","TEXT_BANKOB003_01322_SEQ_15<tab>","","","False","0x0000000F","",""
"","TEXT_BANKOB003_01322_SEQ_16<tab>","","","False","0x00000010","",""
"","TEXT_BANKOB003_01322_SEQ_17<tab>","","","False","0x00000011","",""
"","TEXT_BANKOB003_01322_SEQ_18<tab>","","","False","0x00000012","",""
"","TEXT_BANKOB003_01322_SEQ_19<tab>","","","False","0x00000013","",""
"","TEXT_BANKOB003_01322_SEQ_20<tab>","","","False","0x00000014","",""
"","TEXT_BANKOB003_01322_SEQ_21<tab>","","","False","0x00000015","",""
"","TEXT_BANKOB003_01322_SEQ_22<tab>","","","False","0x00000016","",""
"","TEXT_BANKOB003_01322_SEQ_23<tab>","","","False","0x00000017","",""
"","TEXT_BANKOB003_01322_TODO_00<tab>Speak with Skaetswys at Camp Overlook.","","","False","0x00000018","",""
"","TEXT_BANKOB003_01322_TODO_01<tab>Speak with 789th Order Pickman Gi Gu at the 789th Order Dig.","","","False","0x00000019","",""
"","TEXT_BANKOB003_01322_TODO_02<tab>Speak with 789th Order Acolyte Ba Go.","","","False","0x0000001A","",""
"","TEXT_BANKOB003_01322_TODO_03<tab>Speak with 13th Order Alchemist Ga Zi in northern Iron Lake.","","","False","0x0000001B","",""
"","TEXT_BANKOB003_01322_TODO_04<tab>Speak with 789th Order Acolyte Ba Go at the 13th Order workshop.","","","False","0x0000001C","",""
"","TEXT_BANKOB003_01322_TODO_05<tab>Keep watch at the specified location and dispatch 13th Order kobolds.","","","False","0x0000001D","",""
"","TEXT_BANKOB003_01322_TODO_06<tab>Speak with 789th Order Acolyte Ba Go.","","","False","0x0000001E","",""
"","TEXT_BANKOB003_01322_TODO_07<tab>Use the smart bombs on the prototype furnace.","","","False","0x0000001F","",""
"","TEXT_BANKOB003_01322_TODO_08<tab>Speak with 789th Order Acolyte Ba Go.","","","False","0x00000020","",""
"","TEXT_BANKOB003_01322_TODO_09<tab>Speak with 789th Order Pickman Gi Gu at the 789th Order Dig.","","","False","0x00000021","",""
"","TEXT_BANKOB003_01322_TODO_10<tab>","","","False","0x00000022","",""
"","TEXT_BANKOB003_01322_TODO_11<tab>","","","False","0x00000023","",""
"","TEXT_BANKOB003_01322_TODO_12<tab>","","","False","0x00000024","",""
"","TEXT_BANKOB003_01322_TODO_13<tab>","","","False","0x00000025","",""
"","TEXT_BANKOB003_01322_TODO_14<tab>","","","False","0x00000026","",""
"","TEXT_BANKOB003_01322_TODO_15<tab>","","","False","0x00000027","",""
"","TEXT_BANKOB003_01322_TODO_16<tab>","","","False","0x00000028","",""
"","TEXT_BANKOB003_01322_TODO_17<tab>","","","False","0x00000029","",""
"","TEXT_BANKOB003_01322_TODO_18<tab>","","","False","0x0000002A","",""
"","TEXT_BANKOB003_01322_TODO_19<tab>","","","False","0x0000002B","",""
"","TEXT_BANKOB003_01322_TODO_20<tab>","","","False","0x0000002C","",""
"","TEXT_BANKOB003_01322_TODO_21<tab>","","","False","0x0000002D","",""
"","TEXT_BANKOB003_01322_TODO_22<tab>","","","False","0x0000002E","",""
"","TEXT_BANKOB003_01322_TODO_23<tab>","","","False","0x0000002F","",""
"","TEXT_BANKOB003_01322_GIGU_000_000<tab>Oh, adventurer, do honor me with your company for a moment. Yes, yes, let us speak for a while. You have been an absolute godssend to our order─a savior, a saint, a godssend!","","","False","0x00000030","",""
"","TEXT_BANKOB003_01322_GIGU_000_001<tab>Our barrows have been overflowing with ore since you arrived. Yes, yes, full to the brim. At this pace, a moon from now, you may be speaking to─dare I dream?─788th Order Pickman Gi Gu!","","","False","0x00000031","",""
"","TEXT_BANKOB003_01322_GIGU_000_002<tab>We shall be the butt of kobold society no more─no, no, never again! Keep up the diligent work, adventurer!","","","False","0x00000032","",""
"","TEXT_BANKOB003_01322_SKAETSWYS_000_003<tab>Can a kobold get any more pathetic!? Maybe if ye got off yer arse and 'elped <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var> for once, ye could dream a little bigger!","","","False","0x00000033","",""
"","TEXT_BANKOB003_01322_GIGU_000_004<tab>B-But, surely you know the old kobold saying? Yes, yes, slow and steady─","","","False","0x00000034","",""
"","TEXT_BANKOB003_01322_SKAETSWYS_000_005<tab>Bah, enough of yer blatherin'! <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>─ye must come with me, and quickly!","","","False","0x00000035","",""
"","TEXT_BANKOB003_01322_SKAETSWYS_000_006<tab>Why, ye say!? I'll tell ye why─Camp Overlook is under attack by the nastiest 'orde o' kobolds I've ever laid eyes on!","","","False","0x00000036","",""
"","TEXT_BANKOB003_01322_SKAETSWYS_000_007<tab>And that's not the least of it. Word 'as it they've got some newfangled weapon that's got Commander Bloeidin and 'is men tearin' their beards out.","","","False","0x00000037","",""
"","TEXT_BANKOB003_01322_SKAETSWYS_000_008<tab>I'm off to join the defense. We can count on ye as well, aye, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>?","","","False","0x00000038","",""
"","TEXT_BANKOB003_01322_GIGU_000_009<tab>A kobold attack? How terrifying─frightful, horrifying, terrifying! What is it that angers them so? Yes, yes, I wonder...","","","False","0x00000039","",""
"","TEXT_BANKOB003_01322_GIGU_000_010<tab>Lucky we are that you are attacked, and not us. Yes, yes, we are fortunate indeed. Well, ah...good luck up there, adventurer!","","","False","0x0000003A","",""
"","TEXT_BANKOB003_01322_SKAETSWYS_000_020<tab>There ye are, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>! We drove the buggers off, but I fear the damage 'ad already been done...","","","False","0x0000003B","",""
"","TEXT_BANKOB003_01322_SKAETSWYS_000_021<tab>Saw the kobolds' new weapon with me own eyes, I did. A right vicious breed o' bomb that could blow a good-sized vessel out o' the water.","","","False","0x0000003C","",""
"","TEXT_BANKOB003_01322_SKAETSWYS_000_022<tab>The sheer 'ate in the beastmen's eyes got me to wonderin'─do ye reckon this is somehow our fault, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>?","","","False","0x0000003D","",""
"","TEXT_BANKOB003_01322_SKAETSWYS_000_023<tab>No sooner do we start lendin' our strength to Gi Gu and 'is sorry lot than Camp Overlook suffers its worst kobold assault in years.","","","False","0x0000003E","",""
"","TEXT_BANKOB003_01322_SKAETSWYS_000_024<tab>Aye, call it me mariner's intuition, but I'd wager a pirate's booty that Zo Ga is at the 'elm of all this.","","","False","0x0000003F","",""
"","TEXT_BANKOB003_01322_SKAETSWYS_000_025<tab>I must remain behind and tend to me comrades. I ask of ye, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>─return to Gi Gu and see if me suspicions are true.","","","False","0x00000040","",""
